C:\Simcenter\Testxpress\ProjectData\BMW_GS_Test_260907\Data\Down_128.xdf,07.09.26,13:55:01,,,
,M4: Comp_Name_plate_x : SORD(C1,R1) Time[s],M4: Comp_Name_plate_x : SORD(C1,R1) [g],M5: Comp_Name_plate_x : LEVEL(C1) Time[s],M5: Comp_Name_plate_x : LEVEL(C1) [g],M6: Comp_Name_plate_y : SORD(C2,R1) Time[s],M6: Comp_Name_plate_y : SORD(C2,R1) [g],M7: Comp_Name_plate_y : LEVEL(C2) Time[s],M7: Comp_Name_plate_y : LEVEL(C2) [g],M8: Comp_Name_plate_z : SORD(C3,R1) Time[s],M8: Comp_Name_plate_z : SORD(C3,R1) [g],M9: Comp_Name_plate_z : LEVEL(C3) Time[s],M9: Comp_Name_plate_z : LEVEL(C3) [g],M10: LEVEL(R1) Time[s],M10: LEVEL(R1) [rpm]
Unit,s,g,s,g,s,g,s,g,s,g,s,g,s,rpm
Sensor,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,Tacho1
PointDir,,'',,'',,'',,'',,'',,'',,''
Info1,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,
,1.109375000,0.000000000,1.109375000,0.007194309,1.109375000,0.000000000,1.109375000,0.004294434,1.109375000,0.000000000,1.109375000,0.004596399,1.109375000,0.000000000
,1.125000000,0.000000000,1.125000000,0.007318399,1.125000000,0.000000000,1.125000000,0.004188938,1.125000000,0.000000000,1.125000000,0.004614832,1.125000000,0.000000000
,1.140625000,0.000000000,1.140625000,0.007203738,1.140625000,0.000000000,1.140625000,0.004189522,1.140625000,0.000000000,1.140625000,0.004877880,1.140625000,0.000000000
,1.156250000,0.000000000,1.156250000,0.007238336,1.156250000,0.000000000,1.156250000,0.004128710,1.156250000,0.000000000,1.156250000,0.005110235,1.156250000,0.000000000
,1.171875000,0.000000000,1.171875000,0.007205095,1.171875000,0.000000000,1.171875000,0.004120132,1.171875000,0.000000000,1.171875000,0.005247529,1.171875000,0.000000000
,1.187500000,0.000000000,1.187500000,0.007090221,1.187500000,0.000000000,1.187500000,0.004093579,1.187500000,0.000000000,1.187500000,0.005380043,1.187500000,0.000000000
,1.203125000,0.000000000,1.203125000,0.007036808,1.203125000,0.000000000,1.203125000,0.004133314,1.203125000,0.000000000,1.203125000,0.005696633,1.203125000,0.000000000
,1.218750000,0.000000000,1.218750000,0.007179040,1.218750000,0.000000000,1.218750000,0.004091416,1.218750000,0.000000000,1.218750000,0.005772325,1.218750000,0.000000000
,1.234375000,0.000000000,1.234375000,0.007060404,1.234375000,0.000000000,1.234375000,0.004111873,1.234375000,0.000000000,1.234375000,0.006235551,1.234375000,0.000000000
,1.250000000,0.000000000,1.250000000,0.006989033,1.250000000,0.000000000,1.250000000,0.004089904,1.250000000,0.000000000,1.250000000,0.006386887,1.250000000,0.000000000
,1.265625000,0.000000000,1.265625000,0.006945416,1.265625000,0.000000000,1.265625000,0.004103115,1.265625000,0.000000000,1.265625000,0.006388938,1.265625000,0.000000000
,1.281250000,0.000000000,1.281250000,0.006777515,1.281250000,0.000000000,1.281250000,0.004177426,1.281250000,0.000000000,1.281250000,0.006319012,1.281250000,0.000000000
,1.296875000,0.000000000,1.296875000,0.006649727,1.296875000,0.000000000,1.296875000,0.004086346,1.296875000,0.000000000,1.296875000,0.006359136,1.296875000,0.000000000
,1.312500000,0.000000000,1.312500000,0.006537268,1.312500000,0.000000000,1.312500000,0.003966995,1.312500000,0.000000000,1.312500000,0.006413388,1.312500000,0.000000000
,1.328125000,0.000000000,1.328125000,0.006360769,1.328125000,0.000000000,1.328125000,0.003922475,1.328125000,0.000000000,1.328125000,0.006589362,1.328125000,0.000000000
,1.343750000,0.000000000,1.343750000,0.006206069,1.343750000,0.000000000,1.343750000,0.003917906,1.343750000,0.000000000,1.343750000,0.006632442,1.343750000,0.000000000
,1.359375000,0.000000000,1.359375000,0.006043394,1.359375000,0.000000000,1.359375000,0.003889082,1.359375000,0.000000000,1.359375000,0.006800546,1.359375000,0.000000000
,1.375000000,0.000000000,1.375000000,0.005839937,1.375000000,0.000000000,1.375000000,0.003865300,1.375000000,0.000000000,1.375000000,0.006957174,1.375000000,0.000000000
,1.390625000,0.000000000,1.390625000,0.005776054,1.390625000,0.000000000,1.390625000,0.003838755,1.390625000,0.000000000,1.390625000,0.007050016,1.390625000,0.000000000
,1.406250000,0.000000000,1.406250000,0.005737483,1.406250000,0.000000000,1.406250000,0.003790282,1.406250000,0.000000000,1.406250000,0.007182531,1.406250000,0.000000000
,1.421875000,0.000000000,1.421875000,0.005642015,1.421875000,0.000000000,1.421875000,0.003699179,1.421875000,0.000000000,1.421875000,0.007240730,1.421875000,0.000000000
,1.437500000,0.000000000,1.437500000,0.005504390,1.437500000,0.000000000,1.437500000,0.003609480,1.437500000,0.000000000,1.437500000,0.007303277,1.437500000,0.000000000
,1.453125000,0.000000000,1.453125000,0.005389960,1.453125000,0.000000000,1.453125000,0.003600804,1.453125000,0.000000000,1.453125000,0.007407451,1.453125000,0.000000000
,1.468750000,0.000000000,1.468750000,0.005240549,1.468750000,0.000000000,1.468750000,0.003554848,1.468750000,0.000000000,1.468750000,0.007616283,1.468750000,0.000000000
,1.484375000,0.000000000,1.484375000,0.005277389,1.484375000,0.000000000,1.484375000,0.003495152,1.484375000,0.000000000,1.484375000,0.007948228,1.484375000,0.000000000
,1.500000000,0.000000000,1.500000000,0.005328902,1.500000000,0.000000000,1.500000000,0.003465445,1.500000000,0.000000000,1.500000000,0.008087263,1.500000000,0.000000000
,1.515625000,0.000000000,1.515625000,0.005337733,1.515625000,0.000000000,1.515625000,0.003492512,1.515625000,0.000000000,1.515625000,0.008502248,1.515625000,0.000000000
,1.531250000,0.000000000,1.531250000,0.005303574,1.531250000,0.000000000,1.531250000,0.003566870,1.531250000,0.000000000,1.531250000,0.009147139,1.531250000,0.000000000
,1.546875000,0.000000000,1.546875000,0.005291708,1.546875000,0.000000000,1.546875000,0.003559136,1.546875000,0.000000000,1.546875000,0.009667260,1.546875000,0.000000000
,1.562500000,0.000000000,1.562500000,0.005334783,1.562500000,0.000000000,1.562500000,0.003545953,1.562500000,0.000000000,1.562500000,0.009855393,1.562500000,0.000000000
,1.578125000,0.000000000,1.578125000,0.005306887,1.578125000,0.000000000,1.578125000,0.003511847,1.578125000,0.000000000,1.578125000,0.010015144,1.578125000,0.000000000
