C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,65.625,-0.1602951,-0.3318842,65.625,0.6945216,0.2321972,65.625,-2.2285159,-0.7111701,65.625,0.1153429,0.110686,65.625,-0.3761136,0.0070555,65.625,-0.4891396,-0.3505455
,67.1875,-0.2195324,0.3043503,67.1875,-0.0319468,0.7337444,67.1875,-0.2093886,-2.2568719,67.1875,-0.0483172,0.1484047,67.1875,-0.1636916,-0.3023081,67.1875,0.1961482,-0.5438091
,68.75,0.3408633,0.1625497,68.75,-0.7696075,0.1692993,68.75,2.0002882,-0.7347522,68.75,-0.1283972,-0.0174789,68.75,0.2080662,-0.2070652,68.75,0.5290065,0.087804
,70.3125,-0.1638941,0.3504374,70.3125,-0.3527123,-0.7005934,70.3125,1.0544299,1.7131399,70.3125,0.0114726,-0.1314531,70.3125,0.2279906,0.040382,70.3125,-0.0176967,0.5011477
,71.875,-0.1928004,-0.3608546,71.875,0.7243157,-0.3185577,71.875,-1.802476,0.9571122,71.875,0.1622003,0.0113537,71.875,0.1898794,-0.1971669,71.875,-0.5004559,-0.0974434
,73.4375,0.3997985,0.0551121,73.4375,-0.3172541,-0.6967452,73.4375,0.9094527,1.8136296,73.4375,-0.0105789,0.1778851,73.4375,-0.0102154,-0.3122442,73.4375,-0.1255711,0.4915024
,75,-0.3428394,0.1536741,75,-0.7180657,0.1359112,75,1.9462558,-0.4930039,75,0.0865787,0.1730165,75,-0.268938,-0.2239088,75,0.432811,0.2549456
,76.5625,0.2843255,-0.2405915,76.5625,-0.1149079,0.7218759,76.5625,0.1355887,-1.9991149,76.5625,0.1455652,0.1603529,76.5625,0.3622441,0.1061499,76.5625,0.4075736,-0.3140989
,78.125,-0.2965982,0.2322017,78.125,0.5680778,0.4463237,78.125,-1.646137,-1.0519698,78.125,0.2199612,0.0849477,78.125,-0.3771943,-0.0844825,78.125,-0.0516048,-0.4946347
,79.6875,0.3945784,-0.0238978,79.6875,0.7414184,0.0434948,79.6875,-1.9587927,0.0998917,79.6875,-0.1332141,-0.2050463,79.6875,0.261304,0.2917155,79.6875,-0.3230239,-0.3927562
